question_id,feature_id,feature_title_cap,feature_title,feature_lexeme,feature_description,to_map,collected,compiled,elicitation_day,elicitation_month,elicitation_year,updated_day,updated_month,updated_year,domain,filename,settlement,speaker_code,name,patronym,l_name,gender,year_of_birth,birth_place,schooling,residence_place,long_periods_outside,mothers_birthplace,value,stimuli,answer,answer_cyr,comment
‘,’,ALL (PL.),Basic lexicon item ‘all (pl.)’,,The map shows the distribution of lexical cognate sets of the concept ‘all (pl.)’.,1,Ilya Sadakov,"Kostya Filatov, Leah Finkelberg",21,7,2022,28,1,2024,Basic lexicon,,Amsar,,,,,,,,,,,,sin / siembɨr / sajena / sine / sijejnʲa / sijena / sijene,1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD),sijena,sijena,1. 2. sijena
‘,’,ALL (PL.),Basic lexicon item ‘all (pl.)’,,The map shows the distribution of lexical cognate sets of the concept ‘all (pl.)’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",10,7,2021,28,1,2024,Basic lexicon,,Luchek,ags60,Aishat,Gulievna,Safarova,f,1960,Luchek,Luchek,Luchek,no,Luchek,sin / siembɨr / sajena / sine / sijejnʲa / sijena / sijene,1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD),sin,син,
,,ALL (PL.),Basic lexicon item ‘all (pl.)’,,The map shows the distribution of lexical cognate sets of the concept ‘all (pl.)’.,1,Michael Daniel,"Kostya Filatov, Leah Finkelberg",13,7,2022,28,1,2024,Basic lexicon,,Dzhilikhur,,,,,,,,,,,,sin / siembɨr / sajena / sine / sijejnʲa / sijena / sijene,1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD),sin,син,
,,ALL (PL.),Basic lexicon item ‘all (pl.)’,,The map shows the distribution of lexical cognate sets of the concept ‘all (pl.)’.,1,Michael Daniel,"Kostya Filatov, Leah Finkelberg",12,7,2022,28,1,2024,Basic lexicon,,Ikhrek,,,,,,,,,,,,sin / siembɨr / sajena / sine / sijejnʲa / sijena / sijene,1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD),sajena,sajena,
,,ALL (PL.),Basic lexicon item ‘all (pl.)’,,The map shows the distribution of lexical cognate sets of the concept ‘all (pl.)’.,1,Ilya Sadakov,"Kostya Filatov, Leah Finkelberg",20,7,2022,28,1,2024,Basic lexicon,,Kala,,,,,,,,,,,,sin / siembɨr / sajena / sine / sijejnʲa / sijena / sijene,1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD),sijejnʲa,sijejnʲa,1. 2. sijejnʲa 3. sijejnʲa
,,ALL (PL.),Basic lexicon item ‘all (pl.)’,,The map shows the distribution of lexical cognate sets of the concept ‘all (pl.)’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",3,7,2019,28,1,2024,Basic lexicon,,Khnov,,,,,,,,,,,,sin / siembɨr / sajena / sine / sijejnʲa / sijena / sijene,1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD),sine,sine,
,,ALL (PL.),Basic lexicon item ‘all (pl.)’,,The map shows the distribution of lexical cognate sets of the concept ‘all (pl.)’.,1,Michael Daniel,"Kostya Filatov, Leah Finkelberg",18,7,2022,28,1,2024,Basic lexicon,,Kiche,,,,,,,,,,,,sin / siembɨr / sajena / sine / sijejnʲa / sijena / sijene,1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD),sijene,сиене,
,,ALL (PL.),Basic lexicon item ‘all (pl.)’,,The map shows the distribution of lexical cognate sets of the concept ‘all (pl.)’.,1,Ilya Sadakov,"Kostya Filatov, Leah Finkelberg",24,7,2022,28,1,2024,Basic lexicon,,Kufa,,,,,,,,,,,,sin / siembɨr / sajena / sine / sijejnʲa / sijena / sijene,1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD),sijene,sijene,1. 2. sijene
,,ALL (PL.),Basic lexicon item ‘all (pl.)’,,The map shows the distribution of lexical cognate sets of the concept ‘all (pl.)’.,1,Michael Daniel,"Kostya Filatov, Leah Finkelberg",10,7,2022,28,1,2024,Basic lexicon,,Myukhrek,,,,,,,,,,,,sin / siembɨr / sajena / sine / sijejnʲa / sijena / sijene,1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD),sin,син,син
,,ALL (PL.),Basic lexicon item ‘all (pl.)’,,The map shows the distribution of lexical cognate sets of the concept ‘all (pl.)’.,1,Ilya Sadakov,"Kostya Filatov, Leah Finkelberg",22,7,2022,28,1,2024,Basic lexicon,,Rutul,,,,,,,,,,,,sin / siembɨr / sajena / sine / sijejnʲa / sijena / sijene,1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD),sijene,sijene,1. 2. sijene
,,ALL (PL.),Basic lexicon item ‘all (pl.)’,,The map shows the distribution of lexical cognate sets of the concept ‘all (pl.)’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",8,7,2021,28,1,2024,Basic lexicon,,Shinaz,,Ramil,,,m,,Shinaz,Shinaz,Shinaz,no,Shinaz,sin / siembɨr / sajena / sine / sijejnʲa / sijena / sijene,1. Он срубил все деревья. (GLD) 2. Он убил всех животных. (GLD) 3. Все эти мужчины — братья. (GLD),siembɨr,сиембыр, 1) 2) сиен 3) сиен
,,ANT,Basic lexicon item ‘ant’,,The map shows the distribution of lexical cognate sets of the concept ‘ant’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",21,7,2022,28,1,2024,Basic lexicon,,Amsar,,,,,,,,,,,,ӡɨӡɨχ / ӡuӡuχ / ӡaӡɨχa / ӡaӡaq / ӡɨӡaq / ӡɨӡɨχ,1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,ӡɨӡɨχ,дзыдзы́х,3
,,ANT,Basic lexicon item ‘ant’,,The map shows the distribution of lexical cognate sets of the concept ‘ant’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",13,7,2022,28,1,2024,Basic lexicon,,Dzhilikhur,,,,,,,,,,,,ӡɨχcel / ӡɨˤχcer / ӡɨχcel,1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,ӡɨχcel,дзы́хцел,3
,,ANT,Basic lexicon item ‘ant’,,The map shows the distribution of lexical cognate sets of the concept ‘ant’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",12,7,2022,28,1,2024,Basic lexicon,,Ikhrek,,,,,,,,,,,,ӡɨχcel / ӡɨˤχcer / ӡɨχcel,1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,ӡɨˤχcer,дзы́1хцер,
,,ANT,Basic lexicon item ‘ant’,,The map shows the distribution of lexical cognate sets of the concept ‘ant’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",20,7,2022,28,1,2024,Basic lexicon,,Kala,,,,,,,,,,,,ӡɨӡɨχ / ӡuӡuχ / ӡaӡɨχa / ӡaӡaq / ӡɨӡaq / ӡɨӡɨχ,1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,ӡɨӡaq,дзы́дзахъ,
,,ANT,Basic lexicon item ‘ant’,,The map shows the distribution of lexical cognate sets of the concept ‘ant’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",15,7,2022,28,1,2024,Basic lexicon,,Khnov,,,,,,,,,,,,ӡɨӡɨχ / ӡuӡuχ / ӡaӡɨχa / ӡaӡaq / ӡɨӡaq / ӡɨӡɨχ,1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,ӡaӡɨχa,дзадзы́ха,
,,ANT,Basic lexicon item ‘ant’,,The map shows the distribution of lexical cognate sets of the concept ‘ant’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",18,7,2022,28,1,2024,Basic lexicon,,Kiche,,,,,,,,,,,,ӡɨӡɨχ / ӡuӡuχ / ӡaӡɨχa / ӡaӡaq / ӡɨӡaq / ӡɨӡɨχ,1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,ӡaӡaq,дза́дзахъ,
,,ANT,Basic lexicon item ‘ant’,,The map shows the distribution of lexical cognate sets of the concept ‘ant’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",24,7,2022,28,1,2024,Basic lexicon,,Kufa,,,,,,,,,,,,ӡɨӡɨχ / ӡuӡuχ / ӡaӡɨχa / ӡaӡaq / ӡɨӡaq / ӡɨӡɨχ,1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,ӡɨӡaq,дзы́дзахъ,3
,,ANT,Basic lexicon item ‘ant’,,The map shows the distribution of lexical cognate sets of the concept ‘ant’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",10,7,2021,28,1,2024,Basic lexicon,,Luchek,ags60,Aishat,Gulievna,Safarova,f,1960,Luchek,Luchek,Luchek,no,Luchek,ӡɨӡɨχ / ӡuӡuχ / ӡaӡɨχa / ӡaӡaq / ӡɨӡaq / ӡɨӡɨχ,1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,ӡɨӡɨχ,дзыдзы́х,
,,ANT,Basic lexicon item ‘ant’,,The map shows the distribution of lexical cognate sets of the concept ‘ant’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",10,7,2022,28,1,2024,Basic lexicon,,Myukhrek,,,,,,,,,,,,ӡɨχcel / ӡɨˤχcer / ӡɨχcel,1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,ӡɨχcel,дзы́хцел,
,,ANT,Basic lexicon item ‘ant’,,The map shows the distribution of lexical cognate sets of the concept ‘ant’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",22,7,2022,28,1,2024,Basic lexicon,,Rutul,,,,,,,,,,,,ӡɨӡɨχ / ӡuӡuχ / ӡaӡɨχa / ӡaӡaq / ӡɨӡaq / ӡɨӡɨχ,1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,ӡɨӡaq,дзы́дзахъ,
,,ANT,Basic lexicon item ‘ant’,,The map shows the distribution of lexical cognate sets of the concept ‘ant’.,1,Kostya Filatov,"Kostya Filatov, Leah Finkelberg",8,7,2021,28,1,2024,Basic lexicon,,Shinaz,,Ramil,,,m,,Shinaz,Shinaz,Shinaz,no,Shinaz,ӡɨӡɨχ / ӡuӡuχ / ӡaӡɨχa / ӡaӡaq / ӡɨӡaq / ӡɨӡɨχ,1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,ӡuӡuχ,дзу́дзух,
,,ASH,Basic lexicon item ‘ash’,,The map shows the distribution of lexical cognate sets of the concept ‘ash’.,1,Ilya Sadakov,"Kostya Filatov, Leah Finkelberg",21,7,2022,28,1,2024,Basic lexicon,,Amsar,,,,,,,,,,,,rɨˤq / riˁʁ / rɨˤɢ / rɨˤʁ,1. От костра осталась одна зола и угли. (GLD) 2. Ветер развеял золу. (GLD) 3. Он взял в горсть золу. (GLD),rɨˁq,rɨˁq,2. (3)
